Movie Name,Year,Character,IMDb Rating,Box Office
The Adventures of Ichabod and Mr. Toad,1949,Ratty,7.0,
The Adventures of Ichabod and Mr. Toad,1949,Winkie the Barman,7.0,
101 Dalmatians,1996,Anita Radcliffe,5.7,
101 Dalmatians,1996,The Colonel,5.7,
101 Dalmatians,1996,Cruella de Vil [a.k.a. De Vil],5.7,
101 Dalmatians,1996,Horace & Jasper,5.7,
101 Dalmatians,1996,Perdita,5.7,
101 Dalmatians,1996,Pongo,5.7,
101 Dalmatians,1996,Roger Radcliffe,5.7,
101 Dalmatians,1996,Sgt. Tibbs,5.7,
Frozen,2013,Anna,7.5,400736600.0
Frozen,2013,Duke of Weselton,7.5,400736600.0
Frozen,2013,Elsa,7.5,400736600.0
Frozen,2013,Kristoff,7.5,400736600.0
Frozen,2013,Oaken,7.5,400736600.0
Frozen,2013,Olaf,7.5,400736600.0
Frozen,2013,Prince Hans,7.5,400736600.0
Frozen,2013,Sven,7.5,400736600.0
House of Mouse,2001,April,7.6,
House of Mouse,2001,June,7.6,
House of Mouse,2001,May,7.6,
House of Mouse,2001,Mike the Microphone,7.6,
The Three Caballeros,1944,Aracuan Bird,6.5,
The Three Caballeros,1944,Panchito Pistoles,6.5,
Tarzan,1999,Archimedes Q. Porter,7.3,
Tarzan,1999,Clayton,7.3,
Tarzan,1999,Jane Porter,7.3,
Tarzan,1999,Kala,7.3,
Tarzan,1999,Kerchak,7.3,
Tarzan,1999,Mungo,7.3,
Tarzan,1999,Tantor,7.3,
Tarzan,1999,Tantor's Mother,7.3,
Tarzan,1999,Tarzan,7.3,
Tarzan,1999,Terk,7.3,
The Sword in the Stone,1963,Archimedes,7.2,
The Sword in the Stone,1963,Arthur/Wart,7.2,
The Sword in the Stone,1963,Black Bart,7.2,
The Sword in the Stone,1963,Madam Mim,7.2,
The Sword in the Stone,1963,Merlin,7.2,
The Sword in the Stone,1963,Sir Ector,7.2,
The Sword in the Stone,1963,Sir Kay,7.2,
The Sword in the Stone,1963,Sir Pellinore,7.2,
Beauty and the Beast,1991,Armoire,8.0,47611331.0
Beauty and the Beast,1991,Babette,8.0,47611331.0
Beauty and the Beast,1991,Baker,8.0,47611331.0
Beauty and the Beast,1991,Beast,8.0,47611331.0
Beauty and the Beast,1991,Belle,8.0,47611331.0
Beauty and the Beast,1991,Bimbette,8.0,47611331.0
Beauty and the Beast,1991,Bookseller,8.0,47611331.0
Beauty and the Beast,1991,Chef Bouche,8.0,47611331.0
Beauty and the Beast,1991,Chip Potts,8.0,47611331.0
Beauty and the Beast,1991,Cogsworth,8.0,47611331.0
Beauty and the Beast,1991,Fifi the Featherduster,8.0,47611331.0
Beauty and the Beast,1991,Gaston,8.0,47611331.0
Beauty and the Beast,1991,Le Fou,8.0,47611331.0
Beauty and the Beast,1991,Lumière,8.0,47611331.0
Beauty and the Beast,1991,Maurice,8.0,47611331.0
Beauty and the Beast,1991,Monsieur D'Arque,8.0,47611331.0
Beauty and the Beast,1991,Mrs. Potts,8.0,47611331.0
Beauty and the Beast,1991,Philippe the Horse,8.0,47611331.0
Beauty and the Beast,1991,Sultan the Footstool,8.0,47611331.0
Jungle Cubs,1996,Arthur,6.3,
Jungle Cubs,1996,Cecil the Vulture,6.3,
Jungle Cubs,1996,Mahra the Baboon,6.3,
Jungle Cubs,1996,Ned the Baboon,6.3,
Zootopia,2016,Assistant Mayor Dawn Bellwether,8.0,341264012.0
Zootopia,2016,Benjamin Clawhauser,8.0,341264012.0
Zootopia,2016,Bonnie Hopps,8.0,341264012.0
Zootopia,2016,Bucky Oryx-Antlerson,8.0,341264012.0
Zootopia,2016,Chief Bogo,8.0,341264012.0
Zootopia,2016,Doug Ramses,8.0,341264012.0
Zootopia,2016,Duke Weaselton,8.0,341264012.0
Zootopia,2016,Emmitt Otterton,8.0,341264012.0
