Movie Name,Year,Genre,IMDb Rating,Box Office
Wreck-It Ralph,2012, Fantasy,7.7,189412677
Gravity Falls,2012,Animation,8.9,
Gravity Falls,2012, Short,8.9,
Gravity Falls,2012, Action,8.9,
Gravity Falls,2012, Adventure,8.9,
Gravity Falls,2012, Comedy,8.9,
Gravity Falls,2012, Family,8.9,
Gravity Falls,2012, Fantasy,8.9,
Gravity Falls,2012, Mystery,8.9,
Gravity Falls,2012, Sci-Fi,8.9,
Secret of the Wings,2012,Animation,7.1,1871624
Secret of the Wings,2012, Family,7.1,1871624
Secret of the Wings,2012, Fantasy,7.1,1871624
Tangled Ever After,2012,Animation,7.6,
Tangled Ever After,2012, Short,7.6,
Tangled Ever After,2012, Action,7.6,
Tangled Ever After,2012, Comedy,7.6,
Tangled Ever After,2012, Family,7.6,
Tangled Ever After,2012, Musical,7.6,
Frankenweenie,2012,Animation,6.9,35287788
Frankenweenie,2012, Comedy,6.9,35287788
Frankenweenie,2012, Family,6.9,35287788
Frankenweenie,2012, Horror,6.9,35287788
Frankenweenie,2012, Sci-Fi,6.9,35287788
Frozen,2013,Animation,7.5,400736600
Frozen,2013, Adventure,7.5,400736600
Frozen,2013, Comedy,7.5,400736600
Frozen,2013, Family,7.5,400736600
Frozen,2013, Fantasy,7.5,400736600
Frozen,2013, Musical,7.5,400736600
Sofia the First,2013,Animation,7,
Sofia the First,2013, Adventure,7,
Sofia the First,2013, Family,7,
Sofia the First,2013, Fantasy,7,
Sofia the First,2013, Musical,7,
Mulan: 15th Anniversary - The Voices of Mulan II,2013,Documentary,,
Mulan: 15th Anniversary - The Voices of Mulan II,2013, Short,,
Big Hero 6,2014,Animation,7.8,
Big Hero 6,2014, Action,7.8,
Big Hero 6,2014, Adventure,7.8,
Big Hero 6,2014, Family,7.8,
Big Hero 6,2014, Sci-Fi,7.8,
The Sleepwalker,2014,Drama,4.9,2636
Cinderella,2015,Drama,6.9,183327144
Cinderella,2015, Family,6.9,183327144
Cinderella,2015, Fantasy,6.9,183327144
Cinderella,2015, Romance,6.9,183327144
The Jungle Book,2016,Adventure,7.4,363995937
The Jungle Book,2016, Drama,7.4,363995937
The Jungle Book,2016, Family,7.4,363995937
The Jungle Book,2016, Fantasy,7.4,363995937
Zootopia,2016,Animation,8,341264012
Zootopia,2016, Adventure,8,341264012
Zootopia,2016, Comedy,8,341264012
Zootopia,2016, Crime,8,341264012
Zootopia,2016, Family,8,341264012
Zootopia,2016, Mystery,8,341264012
The Lion Guard,2016,Animation,6.5,
The Lion Guard,2016, Action,6.5,
The Lion Guard,2016, Adventure,6.5,
The Lion Guard,2016, Comedy,6.5,
