Movie Name,Year,Keyword,IMDb Rating,Box Office
Atlantis: The Lost Empire,2001,sea monster,6.9,83561615.0
Sleeping Beauty,1959,sleep,7.2,
Sleeping Beauty,1959,magic,7.2,
Sleeping Beauty,1959,fairy,7.2,
Sleeping Beauty,1959,prince,7.2,
Sleeping Beauty,1959,castle,7.2,
Sleeping Beauty,1959,fairy tale,7.2,
Sleeping Beauty,1959,kingdom,7.2,
Sleeping Beauty,1959,musical,7.2,
Sleeping Beauty,1959,kiss,7.2,
Sleeping Beauty,1959,princess,7.2,
Sleeping Beauty,1959,sleeping beauty,7.2,
Sleeping Beauty,1959,knight,7.2,
Sleeping Beauty,1959,dragon,7.2,
Sleeping Beauty,1959,dungeon,7.2,
Sleeping Beauty,1959,based on fairy tale,7.2,
Sofia the First,2013,princess,7.0,
Fantasia 2000,1999,orchestra,7.2,
Fantasia 2000,1999,musical segments,7.2,
Bambi,1942,loss of loved one,7.3,
Bambi,1942,forest,7.3,
Bambi,1942,deer,7.3,
Bambi,1942,coming of age,7.3,
Bambi,1942,best friend,7.3,
Bambi,1942,rabbit,7.3,
Bambi,1942,forest fire,7.3,
The Lion King,1994,loss of loved one,8.5,94240635.0
The Lion King,1994,lion,8.5,94240635.0
The Lion King,1994,musical,8.5,94240635.0
The Lion King,1994,wild boar,8.5,94240635.0
The Lion King,1994,uncle,8.5,94240635.0
The Lion King,1994,shaman,8.5,94240635.0
The Lion King,1994,redemption,8.5,94240635.0
The Lion King,1994,king,8.5,94240635.0
The Lion King,1994,scar,8.5,94240635.0
The Lion King,1994,family,8.5,94240635.0
The Lion King,1994,hyena,8.5,94240635.0
The Lion King,1994,meerkat,8.5,94240635.0
The Lion King,1994,mandrill,8.5,94240635.0
The Great Mouse Detective,1986,"london, england",7.2,
The Great Mouse Detective,1986,detective,7.2,
The Great Mouse Detective,1986,queen,7.2,
The Great Mouse Detective,1986,mouse,7.2,
The Great Mouse Detective,1986,victorian england,7.2,
The Great Mouse Detective,1986,sherlock holmes,7.2,
The Great Mouse Detective,1986,cartoon mouse,7.2,
The Great Mouse Detective,1986,19th century,7.2,
Snow White and the Seven Dwarfs,1937,poison,7.6,
Snow White and the Seven Dwarfs,1937,witch,7.6,
Snow White and the Seven Dwarfs,1937,becoming an adult,7.6,
Snow White and the Seven Dwarfs,1937,sadness,7.6,
Snow White and the Seven Dwarfs,1937,queen,7.6,
Snow White and the Seven Dwarfs,1937,attempted murder,7.6,
Snow White and the Seven Dwarfs,1937,dying and death,7.6,
Snow White and the Seven Dwarfs,1937,appearance,7.6,
Snow White and the Seven Dwarfs,1937,princess,7.6,
Snow White and the Seven Dwarfs,1937,candlelight vigil,7.6,
Snow White and the Seven Dwarfs,1937,snow white,7.6,
Snow White and the Seven Dwarfs,1937,based on fairy tale,7.6,
Big Hero 6,2014,sibling relationship,7.8,
Big Hero 6,2014,hero,7.8,
Big Hero 6,2014,talent,7.8,
Big Hero 6,2014,friendship,7.8,
Big Hero 6,2014,revenge,7.8,
Big Hero 6,2014,best friend,7.8,
Big Hero 6,2014,another dimension,7.8,
Big Hero 6,2014,robot,7.8,
Big Hero 6,2014,boy genius,7.8,
Big Hero 6,2014,hate,7.8,
Big Hero 6,2014,aftercreditsstinger,7.8,
Big Hero 6,2014,moral dilemma,7.8,
Big Hero 6,2014,3d,7.8,
Big Hero 6,2014,teen superhero,7.8,
Big Hero 6,2014,dead brother,7.8,
Bedknobs and Broomsticks,1971,flying,7.1,
Bedknobs and Broomsticks,1971,witch,7.1,
Bedknobs and Broomsticks,1971,world war ii,7.1,
Bedknobs and Broomsticks,1971,broom,7.1,
Bedknobs and Broomsticks,1971,children in wartime,7.1,
The Country Bears,2002,human animal relationship,4.1,16892873.0
The Country Bears,2002,musical,4.1,16892873.0
The Country Bears,2002,clowning,4.1,16892873.0
The Country Bears,2002,bear,4.1,16892873.0
The Country Bears,2002,social satire,4.1,16892873.0
The Country Bears,2002,aftercreditsstinger,4.1,16892873.0
The Country Bears,2002,duringcreditsstinger,4.1,16892873.0
Pocahontas,1995,culture clash,6.7,
Pocahontas,1995,forbidden love,6.7,
Pocahontas,1995,colony,6.7,
Pocahontas,1995,musical,6.7,
Pocahontas,1995,gold rush,6.7,
Pocahontas,1995,princess,6.7,
Pocahontas,1995,native american,6.7,
Pocahontas,1995,colonisation,6.7,
Pocahontas,1995,virginia,6.7,
Pocahontas,1995,star crossed lovers,6.7,
Pocahontas,1995,intercultural relationship,6.7,
Pocahontas,1995,"based on myths, legends or folklore",6.7,
Pocahontas,1995,17th century,6.7,
Pocahontas,1995,shamanism,6.7,
Pocahontas,1995,animal sidekick,6.7,
Fantasia,1940,orchestra,7.8,
Fantasia,1940,classical music,7.8,
Fantasia,1940,musical segments,7.8,
The Legend of Coyote Rock,1945,short,6.6,
Sheep Dog,1949,cartoon,6.2,
Sheep Dog,1949,pluto,6.2,
Sheep Dog,1949,coyote,6.2,
Sheep Dog,1949,sheep dog,6.2,
Sheep Dog,1949,short,6.2,
An Extremely Goofy Movie,2000,skateboarding,6.3,
An Extremely Goofy Movie,2000,parent child relationship,6.3,
